Client,Practice Area,Matter Number,Matter Description,Responsible Attorney,Originating Attorney,Billable,Latest Bill,Attorney Name,Role,Practice Group ,Practice Description,Summary ,Area of Expertise,Education,Contact
Global Wine Brands Inc.,Corporate & Securities,01646-Global Wine Brands Inc.-General Business,General Business,Doug Mitchell,Doug Mitchell,Yes,11/3/22,,,,,,,,
Legend Napa Valley LLC,Corporate & Securities,01647-Legend Napa Valley LLC-General Business,General Business,Doug Mitchell,Doug Mitchell,Yes,6/28/24,,,,,,,,
Walter Bacharowski,Patents,01649-Bacharowski-20201 - Miscellaneous Matters,20201 - Miscellaneous Matters,Thomas Stine,Thomas Stine,Yes,,,,,,,,,
Walter Bacharowski,Patents,"01650-Bacharowski-20207 -US Patent application for ""Capacitively Coupled Serial Data Link,"" AN 17/771,642, filed April 25, 2022","20207 -US Patent application for ""Capacitively Coupled Serial Data Link,"" AN 17/771,642, filed April 25, 2022",Thomas Stine,Thomas Stine,No,,,,,,,,,
Walter Bacharowski,Patents,"01651-Bacharowski-20208 - US patent Application for ""Very Low Power Standby Circuit, Such As For A Battery Management System,"" AN 17/788,545, filed June 23, 2022","20208 - US patent Application for ""Very Low Power Standby Circuit, Such As For A Battery Management System,"" AN 17/788,545, filed June 23, 2022",Thomas Stine,Thomas Stine,Yes,9/7/23,,,,,,,,
Walter Bacharowski,Patents,"01652-Bacharowski-20210 - US Patent Application for ""Open Contactor Bypass Circuit For A Battery System,"" from PCT/US2021/023925","20210 - US Patent Application for ""Open Contactor Bypass Circuit For A Battery System,"" from PCT/US2021/023925",Thomas Stine,Thomas Stine,Yes,9/7/23,,,,,,,,
1stHm Inc.,Corporate & Securities,01653-1stHm Inc.-Commercial and IP work related to home design and manufacturing,Commercial and IP work related to home design and manufacturing,Emma Thompson,Brian Scherer,Yes,9/6/22,,,,,,,,
Melt Inc.,Fintech & Financial Services,01654-Melt Inc.-General Corporate,General Corporate,Faraz Rana,Faraz Rana,Yes,9/7/23,,,,,,,,
"Hyperion Technologies, LLC dba FedTech",Corporate & Securities,"01655-Hyperion Technologies, LLC dba FedTech-FedTech Advisor - IP & SBIR Subject Matter Expertise",FedTech Advisor - IP & SBIR Subject Matter Expertise,Eric Blatt,Eric Blatt,Yes,7/9/24,,,,,,,,
"Hyperion Technologies, LLC dba FedTech",Corporate & Securities,"04593-Hyperion Technologies, LLC dba FedTech-Corporate and Securities Subject Matter Expertise",Corporate and Securities Subject Matter Expertise,Eric Blatt,Eric Blatt,Yes,7/9/24,,,,,,,,
"Sphinx Defense, Inc.",Corporate & Securities,"01656-Sphinx Defense, Inc.-Intellectual property and government contract services",Intellectual property and government contract services,Eric Blatt,Eric Blatt,Yes,3/9/23,,,,,,,,
ReBokeh LLC,Patents,01657-ReBokeh LLC-Intellectual property services,Intellectual property services,Alexander Slafkosky,Alexander Slafkosky,Yes,11/6/23,,,,,,,,
ReBokeh LLC,Corporate & Securities,03845-ReBokeh LLC-Outside General Counsel Services,Outside General Counsel Services,,Alexander Slafkosky,Yes,7/5/24,,,,,,,,
ReBokeh LLC,Corporate & Securities,04885-ReBokeh LLC-Data Privacy Counseling,Data Privacy Counseling,,Alexander Slafkosky,Yes,6/3/24,,,,,,,,
Hosam Al-Dalaq,Corporate & Securities,01658-Al-Dalaq-Naturalization Delays,Naturalization Delays,Alfred Bridi,Alfred Bridi,Yes,4/21/23,,,,,,,,
NEAR Foundation,Litigation,01660-NEAR Foundation-Civil Litigation,Civil Litigation,Samer Korkor,Samer Korkor,Yes,11/3/22,,,,,,,,
"Haven Servicing, Inc.",Fintech & Financial Services,"01661-Haven Servicing, Inc.-General Commercial and Regulatory Counseling",General Commercial and Regulatory Counseling,Brian Scherer,Adam Forest,Yes,5/7/24,,,,,,,,
Brist Corp.,Corporate & Securities,01662-Brist Corp.-Potential Sale,Potential Sale,Steve Forbes,Brian Scherer,Yes,9/6/22,,,,,,,,
Omer Khan,Corporate & Securities,01663-Khan-Employment Dispute,Employment Dispute,Dori Karjian,Dori Karjian,Yes,5/3/23,,,,,,,,
Beyond Attorneys At Law,Trademark/Copyright,03978-Beyond Attorneys At Law-Trademark Portfolio,Trademark Portfolio,,Charles Wallace,Yes,2/5/24,,,,,,,,
Beyond Attorneys At Law,Patents,04703-Beyond Attorneys At Law-Beyond Attorneys At Law - Patent Portfolio,Beyond Attorneys At Law - Patent Portfolio,,Thomas Stine,Yes,3/26/24,,,,,,,,
Tamara Khasanova,Corporate & Securities,01666-Khasanova-TPS Application,TPS Application,Alfred Bridi,Alfred Bridi,Yes,9/5/23,,,,,,,,
Peggy Doellstedt,Corporate & Securities,01669-Doellstedt-Promissory Notes and Security Instruments,Promissory Notes and Security Instruments,Doug Mitchell,Doug Mitchell,Yes,9/6/22,,,,,,,,
Corsa Innovation,Patents,01671-Corsa Innovation-19701 - Miscellaneous Matters,19701 - Miscellaneous Matters,Thomas Stine,Thomas Stine,Yes,,,,,,,,,
Corsa Innovation,Patents,"01672-Corsa Innovation-19702A - US utility Application for ""System For Providing A Realistic Driving Experience,"" from US Provisional AN 63/249,252; filed September 28, 2021","19702A - US utility Application for ""System For Providing A Realistic Driving Experience,"" from US Provisional AN 63/249,252; filed September 28, 2021",Thomas Stine,Thomas Stine,Yes,6/6/24,,,,,,,,
Miranda Martell,Corporate & Securities,01673-Diggens-Spousal Green Card Petition,Spousal Green Card Petition,Alfred Bridi,Alfred Bridi,Yes,2/12/24,,,,,,,,
Enervee Corporation,Fintech & Financial Services,"01674-Enervee Corporation-Establishment of Consumer Loan Program, TILA, loan documents and state specific disclosures for all fifty (50) states with expedited deliverables for California and New York.","Establishment of Consumer Loan Program, TILA, loan documents and state specific disclosures for all fifty (50) states with expedited deliverables for California and New York.",Cary Ullman,Cary Ullman,Yes,6/5/24,,,,,,,,
Enervee Corporation,Fintech & Financial Services,01987-Enervee Corporation-Establishment of Consumer Loan Program - Non-TILA Advice and Assistance,Establishment of Consumer Loan Program - Non-TILA Advice and Assistance,Cary Ullman,Cary Ullman,Yes,3/6/23,,,,,,,,
Kailen Dickson,Real Estate & Land Use,01675-Dickson-3010 Upper Cascade Lake,3010 Upper Cascade Lake,Marissa Fox,Marissa Fox,Yes,10/5/22,,,,,,,,
Trident Vantage Systems LLC,Litigation,01676-Trident Vantage Systems LLC-GJ investigation and related matters,GJ investigation and related matters,Samer Korkor,Samer Korkor,Yes,3/6/23,,,,,,,,
"Edge Focus High Yield Fund, LP",Fintech & Financial Services,"01677-Edge Focus High Yield Fund, LP-General financial product and capital markets related advice; negotiations with loan origination and selling platforms.",General financial product and capital markets related advice; negotiations with loan origination and selling platforms.,David Lundeen,David Lundeen,Yes,6/5/24,,,,,,,,
"Long Capture & Contract Management, LLC",Corporate & Securities,"01679-Long Capture & Contract Management, LLC-Intellectual property and government contract services",Intellectual property and government contract services,Eric Blatt,Eric Blatt,Yes,7/9/24,,,,,,,,
Justin Flood,Corporate & Securities,01680-Flood-Spousal Green Card Petition,Spousal Green Card Petition,Alfred Bridi,Alfred Bridi,Yes,9/6/22,,,,,,,,
Life House,Corporate & Securities,01681-Life House-Hotel Management Agreements,Hotel Management Agreements,Amy Duvanich,Amy Duvanich,Yes,11/3/22,,,,,,,,
Friends of Ski Run,Corporate & Securities,01683-Friends of Ski Run-General Corporate/NonProfit Matters,General Corporate/NonProfit Matters,Marissa Fox,Marissa Fox,No,2/11/23,,,,,,,,
ClearEstate Technologies Inc.,Fintech & Financial Services,01748-ClearEstate Technologies Inc.-General Fintech - Fintech Legal Advice and Assistance,General Fintech - Fintech Legal Advice and Assistance,Cary Ullman,Cary Ullman,Yes,12/5/22,,,,,,,,
Matthew and Emily Hamilton,Real Estate & Land Use,01684-Hamilton-Verdi Energy Inc. - Litigation,Verdi Energy Inc. - Litigation,Melissa Balough,Melissa Balough,Yes,3/6/24,,,,,,,,
Harrison Abry,,01685-Abry-Advice and counsel related to potential purchase of residential real property.,Advice and counsel related to potential purchase of residential real property.,Marissa Fox,Marissa Fox,Yes,10/5/22,,,,,,,,
N. Taylor Thompson,Corporate & Securities,01687-Thompson-Document Review,Document Review,Lindsey Altmeyer,Adam Forest,Yes,11/3/22,,,,,,,,
Fiat Growth LLC,Fintech & Financial Services,01691-Fiat Growth LLC-Fractional General Counsel,Fractional General Counsel,Cary Ullman,Cary Ullman,Yes,4/3/24,,,,,,,,
Fiat Growth LLC,Trademark/Copyright,02546-Fiat Growth LLC-IP Services: Trademark Services,IP Services: Trademark Services,Alexander Slafkosky,Cary Ullman,Yes,7/8/24,,,,,,,,
"Solid Financial Technologies, Inc.",Fintech & Financial Services,"01694-Solid Financial Technologies, Inc.-BSA/AML External Audit",BSA/AML External Audit,Alfred Bridi,Alfred Bridi,Yes,10/5/22,,,,,,,,
"Zurp, Inc.",Fintech & Financial Services,"01695-Zurp, Inc.-General Corporate",General Corporate,Faraz Rana,Faraz Rana,Yes,10/10/22,,,,,,,,
"Shaper Tools, Inc.",Corporate & Securities,"01701-Shaper Tools, Inc.-Product Counsel",Product Counsel,Jeff Love,Jeff Love,Yes,2/28/24,,,,,,,,
Donahue Fitzgerald LLP,Patents,01696-Donahue Fitzgerald LLP-Miscellaneous Matters,Miscellaneous Matters,Thomas Stine,Thomas Stine,Yes,1/19/23,,,,,,,,
Donahue Fitzgerald LLP,Patents,01697-Donahue Fitzgerald LLP-Tamba Networks LLC/Marvell Technology Matter,Tamba Networks LLC/Marvell Technology Matter,Thomas Stine,Thomas Stine,Yes,11/28/22,,,,,,,,
MurabiFi Inc.,Fintech & Financial Services,01700-MurabiFi Inc.-General Fintech,General Fintech,Cary Ullman,Cary Ullman,Yes,10/5/22,,,,,,,,
Vesta Equity Inc.,Fintech & Financial Services,01702-Vesta Equity Inc.-Regulatory Strategy,Regulatory Strategy,Heather Cantua,Heather Cantua,Yes,10/31/22,,,,,,,,
Elias Mourany,Litigation,02134-Mourany-Factual Review and Inquiry to Government,Factual Review and Inquiry to Government,Samer Korkor,Samer Korkor,Yes,3/6/23,,,,,,,,
"Sunfish Technologies, Inc.",Fintech & Financial Services,"01713-Sunfish Technologies, Inc.-Corporate",Corporate,Faraz Rana,Faraz Rana,Yes,10/4/23,,,,,,,,
XCMR Inc.,Corporate & Securities,01703-XCMR Inc.-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,1/8/24,,,,,,,,
XCMR Inc.,Litigation,03550-XCMR Inc.-Challenge to AFWERX recission decision,Challenge to AFWERX recission decision,Eric Blatt,Eric Blatt,Yes,11/14/23,,,,,,,,
Northlight Capital Partners LLC,Fintech & Financial Services,01707-Northlight Capital Partners LLC-Product Counsel,Product Counsel,Heather Cantua,Heather Cantua,Yes,7/8/24,,,,,,,,
Northlight Capital Partners LLC,Litigation,01720-Northlight Capital Partners LLC-Cary Bankruptcy,Cary Bankruptcy,Heather Cantua,Heather Cantua,Yes,12/12/22,,,,,,,,
Thomas Jau and Sherry Ting,Real Estate & Land Use,01708-Thomas Jau and Sherry Ting-Winery Acquisition,Winery Acquisition,Doug Mitchell,Doug Mitchell,Yes,12/5/22,,,,,,,,
"The Law Office of Timothy A. Furin, PLLC",Corporate & Securities,"01709-The Law Office of Timothy A. Furin, PLLC-Apptronik - IP Advisory",Apptronik - IP Advisory,Eric Blatt,Eric Blatt,Yes,7/8/24,,,,,,,,
Andreas Poliza,Patents,01710-Poliza-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,2/10/23,,,,,,,,
Mike and Rhonda Petrillo,Corporate & Securities,01714-Mike and Rhonda Petrillo-Entity Formations and Property Transfers,Entity Formations and Property Transfers,Doug Mitchell,Doug Mitchell,Yes,9/7/23,,,,,,,,
"Responsibly Ventures, LLC",Corporate & Securities,"01716-Responsibly Ventures, LLC-Review of Side Letter",Review of Side Letter,Brian McEvoy,Brian McEvoy,Yes,9/26/22,,,,,,,,
"Entropy, LLC",Corporate & Securities,"01724-Entropy, LLC-Corporate Formation",Corporate Formation,Dori Karjian,Dori Karjian,Yes,11/6/23,,,,,,,,
Hexas Biomass Inc.,Patents,01717-Hexas Biomass Inc.-Intellectual property services,Intellectual property services,Eric Blatt,Eric Blatt,Yes,10/4/22,,,,,,,,
Felix Audemard d'Alancon,Corporate & Securities,01719-Dalancon-Dalancon-Roederer Spousal Green Card Support,Dalancon-Roederer Spousal Green Card Support,Alfred Bridi,Alfred Bridi,Yes,9/30/22,,,,,,,,
John Tumeh,Corporate & Securities,01721-Tumeh-Clutch Holdings,Clutch Holdings,Lindsey Altmeyer,Samer Korkor,Yes,11/3/22,,,,,,,,
Matt and Amy Daniels,Real Estate & Land Use,01722-Daniels-Review of Development Agreement,Review of Development Agreement,Doug Mitchell,Doug Mitchell,Yes,11/3/22,,,,,,,,
Don Nguyen,Litigation,"01725-Nguyen-Pro Bono - Advise on defamation, harassment, and breach of divorce settlement","Pro Bono - Advise on defamation, harassment, and breach of divorce settlement",Tommy Ferdon,Tommy Ferdon,Yes,12/5/22,,,,,,,,
ChannelScience,Patents,01738-ChannelScience-Intellectual Property Services,Intellectual Property Services,,Brian Detwiler,Yes,4/3/24,,,,,,,,
ChannelScience,Patents,03677-ChannelScience-Patent Portfolio,Patent Portfolio,Brian Detwiler,Brian Detwiler,Yes,7/5/24,,,,,,,,
ChannelScience,Patents,04801-ChannelScience-Non-Infringement Opinion,Non-Infringement Opinion,,Brian Detwiler,Yes,7/5/24,,,,,,,,
Jason Clenfield,Litigation,01730-Clenfield-Counsel regarding home rental,Counsel regarding home rental,Melissa Balough,Melissa Balough,Yes,11/3/22,,,,,,,,
Eunice Moura Moura Franco,Corporate & Securities,01747-Franco-Spousal Green Card Petition,Spousal Green Card Petition,Alfred Bridi,Alfred Bridi,Yes,11/2/22,,,,,,,,
Chady Abousleiman,Corporate & Securities,01731-Abousleiman-Artist Agreement Support,Artist Agreement Support,Samer Korkor,Alfred Bridi,Yes,,,,,,,,,
Mariah Rose,Corporate & Securities,01732-Rose-General Representation for Entertainment and Content Creation,General Representation for Entertainment and Content Creation,Brian McEvoy,Brian McEvoy,Yes,,,,,,,,,
"Besitos Corporation, LLC",Fintech & Financial Services,"01735-Besitos Corporation, LLC-Fractional GC",Fractional GC,Cary Ullman,Cary Ullman,Yes,12/5/23,,,,,,,,
"Besitos Corporation, LLC",Trademark/Copyright,"03656-Besitos Corporation, LLC-Trademark Portfolio",Trademark Portfolio,Cary Ullman,Cary Ullman,Yes,12/5/23,,,,,,,,
"AdDent, Inc.",Patents,"01762-AdDent, Inc.-Patents - optimization of post-curing for 3D printed products",Patents - optimization of post-curing for 3D printed products,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"AdDent, Inc.",Patents,"01763-AdDent, Inc.-Patents - radiometry system for dental applications",Patents - radiometry system for dental applications,Umair A. Qadeer,Umair A. Qadeer,Yes,3/6/23,,,,,,,,
Bean Ventures d/b/a Nessl,Patents,01773-Bean Ventures d/b/a Nessl-Patents - patent application(s) for ergonomic baby carrier and baby carrier system,Patents - patent application(s) for ergonomic baby carrier and baby carrier system,Umair A. Qadeer,Umair A. Qadeer,Yes,5/12/23,,,,,,,,
"CombiPhos Catalysts, Inc.",Patents,"01781-CombiPhos Catalysts, Inc.-Patents - maintain patents directed to deuterated niraparib in United States, Europe, and Japan","Patents - maintain patents directed to deuterated niraparib in United States, Europe, and Japan",Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"CombiPhos Catalysts, Inc.",Patents,"01782-CombiPhos Catalysts, Inc.-Patents - advise client regarding patent licensing",Patents - advise client regarding patent licensing,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"CurieHealth, Inc.",Patents,"01809-CurieHealth, Inc.-Patents - patent application(s) directed to emergency department communication system",Patents - patent application(s) directed to emergency department communication system,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
"CurieHealth, Inc.",Patents,"01810-CurieHealth, Inc.-Patents - patent maintenance for patents directed to emergency department communication system",Patents - patent maintenance for patents directed to emergency department communication system,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
"CurieHealth, Inc.",Patents,"01811-CurieHealth, Inc.-Trademarks - DIGITAL PPE mark",Trademarks - DIGITAL PPE mark,Umair A. Qadeer,Umair A. Qadeer,Yes,1/4/23,,,,,,,,
Fred Pereira,Patents,01740-Fred Pereira-Intellectual Property - maintain patent directed to luminous fluid sculptures,Intellectual Property - maintain patent directed to luminous fluid sculptures,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
Fred Pereira,Patents,01741-Fred Pereira-Intellectual Property - prosecute patent application directed to light bulb with crystal modifier,Intellectual Property - prosecute patent application directed to light bulb with crystal modifier,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"GroGuru, Inc.",Patents,"02019-GroGuru, Inc.-Patents - wireless underground systems for irrigation monitoring and management",Patents - wireless underground systems for irrigation monitoring and management,Umair A. Qadeer,Umair A. Qadeer,Yes,3/6/23,,,,,,,,
"GroGuru, Inc.",Patents,"02020-GroGuru, Inc.-Patents - soil and agricultural data monitoring and management",Patents - soil and agricultural data monitoring and management,Umair A. Qadeer,Umair A. Qadeer,Yes,2/4/23,,,,,,,,
"Hematogenix Laboratory Services, LLC",Patents,"01792-Hematogenix Laboratory Services, LLC-Patents - patent application(s) related to assays for cancer detection",Patents - patent application(s) related to assays for cancer detection,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Hematogenix Laboratory Services, LLC",Trademark/Copyright,"01793-Hematogenix Laboratory Services, LLC-Trademarks - trademark application(s) and trademark registration renewals for HEMATOGENIX for clinical laboratory medical testing services",Trademarks - trademark application(s) and trademark registration renewals for HEMATOGENIX for clinical laboratory medical testing services,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Hematogenix Laboratory Services, LLC",Trademark/Copyright,"01794-Hematogenix Laboratory Services, LLC-Trademarks - trademark registration renewals for IDNAFY marks for clinical laboratory medical testing services",Trademarks - trademark registration renewals for IDNAFY marks for clinical laboratory medical testing services,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Hematogenix Laboratory Services, LLC",Trademark/Copyright,"01795-Hematogenix Laboratory Services, LLC-Trademarks - trademark applications for CLONOGENIX, SEQMRD, and MRDSEQ for next-generation sequencing and/or flow cytometry testing for detection of cancer","Trademarks - trademark applications for CLONOGENIX, SEQMRD, and MRDSEQ for next-generation sequencing and/or flow cytometry testing for detection of cancer",Umair A. Qadeer,Umair A. Qadeer,Yes,2/4/23,,,,,,,,
"Insight Management and Consulting Services, Inc.",Patents,"02094-Insight Management and Consulting Services, Inc.-Patents - broadband resonant antennas",Patents - broadband resonant antennas,Umair A. Qadeer,Umair A. Qadeer,Yes,3/6/23,,,,,,,,
"Intelligent Green Products, LLC",Trademark/Copyright,"01839-Intelligent Green Products, LLC-Trademark application(s) for EPIPHANY! for water flow controllers",Trademark application(s) for EPIPHANY! for water flow controllers,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
"Intelligent Green Products, LLC",Trademark/Copyright,"01840-Intelligent Green Products, LLC-Trademark application(s) for CONSERVATION WITHOUT COMPROMISE for water flow controllers",Trademark application(s) for CONSERVATION WITHOUT COMPROMISE for water flow controllers,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
"Iterna, LLC",Patents,"01922-Iterna, LLC-Patents - prepare and prosecute patent application(s) directed to hybrid battery system",Patents - prepare and prosecute patent application(s) directed to hybrid battery system,Umair A. Qadeer,Umair A. Qadeer,Yes,1/4/23,,,,,,,,
"Iterna, LLC",Patents,"01923-Iterna, LLC-Patents - maintain patents directed to batteries and battery systems",Patents - maintain patents directed to batteries and battery systems,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Matregenix, Inc.",Patents,"01751-Matregenix, Inc.-Patents - electrospun nanofibrous dental barrier membranes for guided tissue regeneration and guided bone regeneration",Patents - electrospun nanofibrous dental barrier membranes for guided tissue regeneration and guided bone regeneration,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Matregenix, Inc.",Patents,"01752-Matregenix, Inc.-Patents - electrospun nanofibrous membranes for soft tissue repair",Patents - electrospun nanofibrous membranes for soft tissue repair,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Matregenix, Inc.",Patents,"01753-Matregenix, Inc.-Patents - kink-resistant tubular scaffolds for tissue engineering",Patents - kink-resistant tubular scaffolds for tissue engineering,Umair A. Qadeer,Umair A. Qadeer,Yes,2/15/23,,,,,,,,
"Matregenix, Inc.",Patents,"01754-Matregenix, Inc.-Patents - electrospun nanofibrous polymer membranes for use in personal protective equipment (PPE)",Patents - electrospun nanofibrous polymer membranes for use in personal protective equipment (PPE),Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Matregenix, Inc.",Patents,"01755-Matregenix, Inc.-Patents - electrospun nanofibrous polymer membranes for use in air filtration",Patents - electrospun nanofibrous polymer membranes for use in air filtration,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Matregenix, Inc.",Patents,"01756-Matregenix, Inc.-Patents - photocatalytic nanofiber-impregnated graphene aerogels for use in solar-powered desalination and water purification",Patents - photocatalytic nanofiber-impregnated graphene aerogels for use in solar-powered desalination and water purification,Umair A. Qadeer,Umair A. Qadeer,Yes,12/5/22,,,,,,,,
"Matregenix, Inc.",Patents,"01757-Matregenix, Inc.-Patents - electrospun nanofibrous polymer membranes for selective removal of heavy metals from water",Patents - electrospun nanofibrous polymer membranes for selective removal of heavy metals from water,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Matregenix, Inc.",Patents,"01758-Matregenix, Inc.-Patents - electrospinning systems for mass production of nanofibers",Patents - electrospinning systems for mass production of nanofibers,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Matregenix, Inc.",Patents,"01759-Matregenix, Inc.-Trademarks - MATREGENIX word marks",Trademarks - MATREGENIX word marks,Umair A. Qadeer,Umair A. Qadeer,Yes,11/3/22,,,,,,,,
"Matregenix, Inc.",Patents,"01980-Matregenix, Inc.-Intellectual Property - general matters",Intellectual Property - general matters,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
Nevin Hedlund,Patents,02299-Nevin Hedlund-Patents - solar-powered desalination apparatus,Patents - solar-powered desalination apparatus,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
Quality Flow,Trademark/Copyright,"01742-Quality Flow-Trademark maintenance for QUALITY FLOW and QFE CHAR marks for water purification systems, water quality consulting, biocoal, activated carbon, and soil additives, amendments, and conditioners","Trademark maintenance for QUALITY FLOW and QFE CHAR marks for water purification systems, water quality consulting, biocoal, activated carbon, and soil additives, amendments, and conditioners",Umair A. Qadeer,Umair A. Qadeer,Yes,4/3/23,,,,,,,,
"Southtown Sub, LLC",Trademark/Copyright,"01764-Southtown Sub, LLC-Intellectual Property - maintain trademark registration for SOUTHTOWN SUB for use in connected with restaurant services",Intellectual Property - maintain trademark registration for SOUTHTOWN SUB for use in connected with restaurant services,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
"Southtown Sub, LLC",Trademark/Copyright,"01765-Southtown Sub, LLC-Intellectual Property - negotiate settlement and/or litigate trademark infringement lawsuit against Naggori, Inc. d/b/a Best Southtown Gyros and Munir Hussain","Intellectual Property - negotiate settlement and/or litigate trademark infringement lawsuit against Naggori, Inc. d/b/a Best Southtown Gyros and Munir Hussain",Umair A. Qadeer,Umair A. Qadeer,Yes,6/5/23,,,,,,,,
SSF Food Distribution Inc.,Trademark/Copyright,02362-SSF Food Distribution Inc.-LAHORI DELIGHT mark,LAHORI DELIGHT mark,Umair A. Qadeer,Umair A. Qadeer,Yes,5/8/23,,,,,,,,
"Surgilum, LLC",Patents,"01962-Surgilum, LLC-Maintain patents directed to eye marking and illumination",Maintain patents directed to eye marking and illumination,Umair A. Qadeer,Umair A. Qadeer,Yes,5/9/23,,,,,,,,
ZeroCarb Inc.,Patents,02156-ZeroCarb Inc.-protein-based flour substitutes,protein-based flour substitutes,Umair A. Qadeer,Umair A. Qadeer,Yes,3/14/23,,,,,,,,
ZeroCarb Inc.,Patents,02158-ZeroCarb Inc.-intellectual property general matters,intellectual property general matters,Umair A. Qadeer,Umair A. Qadeer,Yes,3/14/23,,,,,,,,
Vinci Brands LLC,Patents,"01774-Vinci Brands LLC-Patent preparation and prosecution for patents related to
mobile device accessories, including protective cases,
power products, and related products","Patent preparation and prosecution for patents related to
mobile device accessories, including protective cases,
power products, and related products",Umair A. Qadeer,Umair A. Qadeer,Yes,4/13/23,,,,,,,,
Vinci Brands LLC,Patents,"01775-Vinci Brands LLC-Trademark preparation, prosecution, maintenance, and
renewals for INCIPIO, INCASE, GRIFFIN, and
SURVIVOR brands and numerous sub-brands related
thereto for use with mobile device accessories","Trademark preparation, prosecution, maintenance, and
renewals for INCIPIO, INCASE, GRIFFIN, and
SURVIVOR brands and numerous sub-brands related
thereto for use with mobile device accessories",Umair A. Qadeer,Umair A. Qadeer,Yes,5/11/23,,,,,,,,
Vinci Brands LLC,Patents,"01776-Vinci Brands LLC-Trademark oppositions and cancellations for protection
of INCIPIO, INCASE, GRIFFIN, and SURVIVOR
brands and numerous sub-brands related thereto for use
with mobile device accessories","Trademark oppositions and cancellations for protection
of INCIPIO, INCASE, GRIFFIN, and SURVIVOR
brands and numerous sub-brands related thereto for use
with mobile device accessories",Umair A. Qadeer,Umair A. Qadeer,Yes,1/4/23,,,,,,,,
Vinci Brands LLC,Patents,01777-Vinci Brands LLC-Patent licensing,Patent licensing,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
Vinci Brands LLC,Patents,01778-Vinci Brands LLC-Contract review related to intellectual property,Contract review related to intellectual property,Umair A. Qadeer,Umair A. Qadeer,Yes,1/4/23,,,,,,,,
Vinci Brands LLC,Patents,01779-Vinci Brands LLC-Patent portfolio review and consultations,Patent portfolio review and consultations,Umair A. Qadeer,Umair A. Qadeer,Yes,11/3/22,,,,,,,,
Vinci Brands LLC,Patents,"01780-Vinci Brands LLC-Consultation regarding foreign trademark preparation,
prosecution, maintenance, renewals, and oppositions","Consultation regarding foreign trademark preparation,
prosecution, maintenance, renewals, and oppositions",Umair A. Qadeer,Umair A. Qadeer,Yes,2/3/23,,,,,,,,
Vinci Brands LLC,Patents,01841-Vinci Brands LLC-Freedom-to-operate analyses for proposed new products,Freedom-to-operate analyses for proposed new products,Umair A. Qadeer,Umair A. Qadeer,Yes,1/4/23,,,,,,,,
Vinci Brands LLC,Patents,01842-Vinci Brands LLC-Negotiate resolution to patent dispute with Open Mind Developments Corporation,Negotiate resolution to patent dispute with Open Mind Developments Corporation,Umair A. Qadeer,Umair A. Qadeer,Yes,5/11/23,,,,,,,,
Vinci Brands LLC,Trademark/Copyright,01913-Vinci Brands LLC-Trademark portfolio review and consultations,Trademark portfolio review and consultations,Umair A. Qadeer,Umair A. Qadeer,Yes,1/4/23,,,,,,,,
Vinci Brands LLC,Trademark/Copyright,01914-Vinci Brands LLC-Trademark licensing,Trademark licensing,Umair A. Qadeer,Umair A. Qadeer,Yes,,,,,,,,,
Vinci Brands LLC,Patents,02343-Vinci Brands LLC-Intellectual Property - due diligence for sale of Incase brand,Intellectual Property - due diligence for sale of Incase brand,Umair A. Qadeer,Umair A. Qadeer,Yes,5/11/23,,,,,,,,
